entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
ERR1700756	18	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d128a721-c205-43d8-8d99-ced7ce53ab2f/call-singlem/ERR1700756.singlem.json.gz	ERR1700756
ERR1700757	17	undefined	ERR1700757
ERR1700760	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f4d4a8f3-472f-42bf-b0f2-524d555b1f40/call-singlem/ERR1700760.singlem.json.gz	ERR1700760
ERR1700761	28	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/8fea16d1-17c2-4157-85fd-361555af2645/call-singlem/ERR1700761.singlem.json.gz	ERR1700761
ERR1742252	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/df2e0cbd-36e9-4558-ac5f-d29440193b1b/call-singlem/ERR1742252.singlem.json.gz	ERR1742252
ERR1742256	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3fcdfb1e-aa24-45fd-bb33-a36a4a2d0893/call-singlem/ERR1742256.singlem.json.gz	ERR1742256
ERR1742257	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/22759d9b-0a03-401d-9250-7b1fc819fff5/call-singlem/ERR1742257.singlem.json.gz	ERR1742257
ERR1742259	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/dc432bc2-1476-4446-9f64-cfcde04c9d29/call-singlem/attempt-2/ERR1742259.singlem.json.gz	ERR1742259
ERR1742260	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/4f728de1-4b5a-4530-b159-1161aef28bbb/call-singlem/ERR1742260.singlem.json.gz	ERR1742260
ERR1742263	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ff727e52-1b1f-43e1-97bc-a67cb8db1a6e/call-singlem/ERR1742263.singlem.json.gz	ERR1742263
